date,Open,High,Low,Close,Volume,Average,BarCount
2025-06-03 12:00:00-04:00,595.64,596.66,595.25,596.5,912187.0,596.073,6269
2025-06-03 13:00:00-04:00,596.5,597.08,596.06,596.1,907685.0,596.653,6623
2025-06-03 14:00:00-04:00,596.14,596.46,594.81,596.33,1353674.0,595.68,9935
2025-06-03 15:00:00-04:00,596.34,596.51,595.24,596.11,2696562.0,596.101,17268
2025-06-04 09:30:00-04:00,596.95,597.94,596.79,597.6,1393834.0,597.443,9683
2025-06-04 10:00:00-04:00,597.56,597.77,595.49,597.52,1918786.0,596.899,15175
2025-06-04 11:00:00-04:00,597.54,597.87,596.41,596.88,1290859.0,597.195,10765
2025-06-04 12:00:00-04:00,596.87,596.94,595.8,596.77,1112942.0,596.344,9287
2025-06-04 13:00:00-04:00,596.77,597.66,596.75,597.57,800932.0,597.305,6576
2025-06-04 14:00:00-04:00,597.58,597.93,596.84,597.0,997460.0,597.421,7939
2025-06-04 15:00:00-04:00,597.03,597.24,595.89,595.9,2756963.0,596.558,19023
2025-06-05 09:30:00-04:00,597.64,597.9,593.92,594.29,2256291.0,595.875,15585
2025-06-05 10:00:00-04:00,594.32,597.58,594.0,597.29,3545172.0,595.817,24001
2025-06-05 11:00:00-04:00,597.29,598.98,597.07,598.76,1842771.0,598.142,12449
2025-06-05 12:00:00-04:00,598.76,598.95,594.26,594.76,2493382.0,596.812,18808
2025-06-05 13:00:00-04:00,594.75,596.97,594.31,595.84,1504089.0,596.019,10773
2025-06-05 14:00:00-04:00,595.84,596.11,593.08,595.27,2045081.0,595.031,14273
2025-06-05 15:00:00-04:00,595.24,595.51,591.06,593.0,5862800.0,593.013,38655
2025-06-06 09:30:00-04:00,598.6,600.82,598.41,600.3,1986255.0,599.629,14432
2025-06-06 10:00:00-04:00,600.31,600.47,598.65,599.3,1478215.0,599.65,11929
2025-06-06 11:00:00-04:00,599.29,600.37,597.25,598.71,1792258.0,598.692,14619
2025-06-06 12:00:00-04:00,598.7,599.39,596.86,597.63,1053217.0,598.217,8870
2025-06-06 13:00:00-04:00,597.61,599.04,597.13,598.95,820402.0,598.168,6787
2025-06-06 14:00:00-04:00,598.95,600.41,598.95,599.72,1314781.0,599.812,10488
2025-06-06 15:00:00-04:00,599.73,600.06,598.91,599.04,2637640.0,599.412,18169
2025-06-09 09:30:00-04:00,599.72,599.99,598.5,598.92,1390824.0,599.183,8516
